ID,Length,Width,Height,Surface_Area,Volume,Source_X,Source_Y,Source_Z,Receiver_X,Receiver_Y,Receiver_Z
1,3,3,2.5,48.0,22.5,1.4,2.0,1.5,1.0,1.0,1.5
2,3,3,2.5,48.0,22.5,1.0,1.8,1.5,2.0,1.8,1.5
3,3,3,2.5,48.0,22.5,2.0,2.0,1.5,1.0,1.0,1.5
4,3,3,3,54,27,1.4,2.0,1.5,1.0,1.0,1.5
5,3,3,3,54,27,1.0,1.8,1.5,2.0,1.8,1.5
6,3,3,3,54,27,2.0,2.0,1.5,1.0,1.0,1.5
7,3,3,3.5,60.0,31.5,1.4,2.0,1.5,1.0,1.0,1.5
8,3,3,3.5,60.0,31.5,1.0,1.8,1.5,2.0,1.8,1.5
9,3,3,3.5,60.0,31.5,2.0,2.0,1.5,1.0,1.0,1.5
10,3,3,4,66,36,1.4,2.0,1.5,1.0,1.0,1.5
11,3,3,4,66,36,1.0,1.8,1.5,2.0,1.8,1.5
12,3,3,4,66,36,2.0,2.0,1.5,1.0,1.0,1.5
13,3,3.5,2.5,53.5,26.25,1.8,2.2,1.5,1.0,1.4,1.5
14,3,3.5,2.5,53.5,26.25,1.0,2.2,1.5,1.4,1.0,1.5
15,3,3.5,2.5,53.5,26.25,1.0,2.2,1.5,1.8,1.4,1.5
16,3,3.5,3,60.0,31.5,1.8,2.2,1.5,1.0,1.4,1.5
17,3,3.5,3,60.0,31.5,1.0,2.2,1.5,1.4,1.0,1.5
18,3,3.5,3,60.0,31.5,1.0,2.2,1.5,1.8,1.4,1.5
19,3,3.5,3.5,66.5,36.75,1.8,2.2,1.5,1.0,1.4,1.5
20,3,3.5,3.5,66.5,36.75,1.0,2.2,1.5,1.4,1.0,1.5
21,3,3.5,3.5,66.5,36.75,1.0,2.2,1.5,1.8,1.4,1.5
22,3,3.5,4,73.0,42.0,1.8,2.2,1.5,1.0,1.4,1.5
23,3,3.5,4,73.0,42.0,1.0,2.2,1.5,1.4,1.0,1.5
24,3,3.5,4,73.0,42.0,1.0,2.2,1.5,1.8,1.4,1.5
25,3,4,2.5,59.0,30.0,1.4,1.4,1.5,1.8,3.0,1.5
26,3,4,2.5,59.0,30.0,1.4,2.6,1.5,1.4,1.4,1.5
27,3,4,2.5,59.0,30.0,1.8,2.6,1.5,1.8,1.4,1.5
28,3,4,3,66,36,1.4,1.4,1.5,1.8,3.0,1.5
29,3,4,3,66,36,1.4,2.6,1.5,1.4,1.4,1.5
30,3,4,3,66,36,1.8,2.6,1.5,1.8,1.4,1.5
31,3,4,3.5,73.0,42.0,1.4,1.4,1.5,1.8,3.0,1.5
32,3,4,3.5,73.0,42.0,1.4,2.6,1.5,1.4,1.4,1.5
33,3,4,3.5,73.0,42.0,1.8,2.6,1.5,1.8,1.4,1.5
34,3,4,4,80,48,1.4,1.4,1.5,1.8,3.0,1.5
35,3,4,4,80,48,1.4,2.6,1.5,1.4,1.4,1.5
36,3,4,4,80,48,1.8,2.6,1.5,1.8,1.4,1.5
37,3,4.5,2.5,64.5,33.75,1.4,3.0,1.5,1.8,1.8,1.5
38,3,4.5,2.5,64.5,33.75,1.8,3.4,1.5,1.4,2.2,1.5
39,3,4.5,2.5,64.5,33.75,1.0,1.8,1.5,1.4,3.4,1.5
40,3,4.5,3,72.0,40.5,1.4,3.0,1.5,1.8,1.8,1.5
41,3,4.5,3,72.0,40.5,1.8,3.4,1.5,1.4,2.2,1.5
42,3,4.5,3,72.0,40.5,1.0,1.8,1.5,1.4,3.4,1.5
43,3,4.5,3.5,79.5,47.25,1.4,3.0,1.5,1.8,1.8,1.5
44,3,4.5,3.5,79.5,47.25,1.8,3.4,1.5,1.4,2.2,1.5
45,3,4.5,3.5,79.5,47.25,1.0,1.8,1.5,1.4,3.4,1.5
46,3,4.5,4,87.0,54.0,1.4,3.0,1.5,1.8,1.8,1.5
47,3,4.5,4,87.0,54.0,1.8,3.4,1.5,1.4,2.2,1.5
48,3,4.5,4,87.0,54.0,1.0,1.8,1.5,1.4,3.4,1.5
49,3,5,2.5,70.0,37.5,1.0,2.2,1.5,1.8,3.4,1.5
50,3,5,2.5,70.0,37.5,1.0,1.0,1.5,1.4,3.0,1.5
51,3,5,2.5,70.0,37.5,1.0,1.4,1.5,1.4,3.8,1.5
52,3,5,3,78,45,1.0,2.2,1.5,1.8,3.4,1.5
53,3,5,3,78,45,1.0,1.0,1.5,1.4,3.0,1.5
54,3,5,3,78,45,1.0,1.4,1.5,1.4,3.8,1.5
55,3,5,3.5,86.0,52.5,1.0,2.2,1.5,1.8,3.4,1.5
56,3,5,3.5,86.0,52.5,1.0,1.0,1.5,1.4,3.0,1.5
57,3,5,3.5,86.0,52.5,1.0,1.4,1.5,1.4,3.8,1.5
58,3,5,4,94,60,1.0,2.2,1.5,1.8,3.4,1.5
59,3,5,4,94,60,1.0,1.0,1.5,1.4,3.0,1.5
60,3,5,4,94,60,1.0,1.4,1.5,1.4,3.8,1.5
61,3,5.5,2.5,75.5,41.25,1.4,3.4,1.5,1.0,1.0,1.5
62,3,5.5,2.5,75.5,41.25,1.8,1.8,1.5,1.0,1.0,1.5
63,3,5.5,2.5,75.5,41.25,1.0,1.4,1.5,1.4,2.6,1.5
64,3,5.5,3,84.0,49.5,1.4,3.4,1.5,1.0,1.0,1.5
65,3,5.5,3,84.0,49.5,1.8,1.8,1.5,1.0,1.0,1.5
66,3,5.5,3,84.0,49.5,1.0,1.4,1.5,1.4,2.6,1.5
67,3,5.5,3.5,92.5,57.75,1.4,3.4,1.5,1.0,1.0,1.5
68,3,5.5,3.5,92.5,57.75,1.8,1.8,1.5,1.0,1.0,1.5
69,3,5.5,3.5,92.5,57.75,1.0,1.4,1.5,1.4,2.6,1.5
70,3,5.5,4,101.0,66.0,1.4,3.4,1.5,1.0,1.0,1.5
71,3,5.5,4,101.0,66.0,1.8,1.8,1.5,1.0,1.0,1.5
72,3,5.5,4,101.0,66.0,1.0,1.4,1.5,1.4,2.6,1.5
73,3,6,2.5,81.0,45.0,1.0,3.4,1.5,1.0,1.8,1.5
74,3,6,2.5,81.0,45.0,1.4,4.6,1.5,1.4,1.4,1.5
75,3,6,2.5,81.0,45.0,1.4,1.8,1.5,1.0,5.0,1.5
76,3,6,3,90,54,1.0,3.4,1.5,1.0,1.8,1.5
77,3,6,3,90,54,1.4,4.6,1.5,1.4,1.4,1.5
78,3,6,3,90,54,1.4,1.8,1.5,1.0,5.0,1.5
79,3,6,3.5,99.0,63.0,1.0,3.4,1.5,1.0,1.8,1.5
80,3,6,3.5,99.0,63.0,1.4,4.6,1.5,1.4,1.4,1.5
81,3,6,3.5,99.0,63.0,1.4,1.8,1.5,1.0,5.0,1.5
82,3,6,4,108,72,1.0,3.4,1.5,1.0,1.8,1.5
83,3,6,4,108,72,1.4,4.6,1.5,1.4,1.4,1.5
84,3,6,4,108,72,1.4,1.8,1.5,1.0,5.0,1.5
85,3.5,3,2.5,53.5,26.25,1.4,1.0,1.5,2.2,1.8,1.5
86,3.5,3,2.5,53.5,26.25,1.4,1.8,1.5,2.2,1.0,1.5
87,3.5,3,2.5,53.5,26.25,1.0,1.8,1.5,2.2,1.8,1.5
88,3.5,3,3,60.0,31.5,1.4,1.0,1.5,2.2,1.8,1.5
89,3.5,3,3,60.0,31.5,1.4,1.8,1.5,2.2,1.0,1.5
90,3.5,3,3,60.0,31.5,1.0,1.8,1.5,2.2,1.8,1.5
91,3.5,3,3.5,66.5,36.75,1.4,1.0,1.5,2.2,1.8,1.5
92,3.5,3,3.5,66.5,36.75,1.4,1.8,1.5,2.2,1.0,1.5
93,3.5,3,3.5,66.5,36.75,1.0,1.8,1.5,2.2,1.8,1.5
94,3.5,3,4,73.0,42.0,1.4,1.0,1.5,2.2,1.8,1.5
95,3.5,3,4,73.0,42.0,1.4,1.8,1.5,2.2,1.0,1.5
96,3.5,3,4,73.0,42.0,1.0,1.8,1.5,2.2,1.8,1.5
97,3.5,3.5,2.5,59.5,30.625,1.0,1.8,1.5,2.2,1.0,1.5
98,3.5,3.5,2.5,59.5,30.625,2.2,2.2,1.5,1.0,1.0,1.5
99,3.5,3.5,2.5,59.5,30.625,2.2,1.4,1.5,1.0,2.2,1.5
100,3.5,3.5,3,66.5,36.75,1.0,1.8,1.5,2.2,1.0,1.5
101,3.5,3.5,3,66.5,36.75,2.2,2.2,1.5,1.0,1.0,1.5
102,3.5,3.5,3,66.5,36.75,2.2,1.4,1.5,1.0,2.2,1.5
103,3.5,3.5,3.5,73.5,42.875,1.0,1.8,1.5,2.2,1.0,1.5
104,3.5,3.5,3.5,73.5,42.875,2.2,2.2,1.5,1.0,1.0,1.5
105,3.5,3.5,3.5,73.5,42.875,2.2,1.4,1.5,1.0,2.2,1.5
106,3.5,3.5,4,80.5,49.0,1.0,1.8,1.5,2.2,1.0,1.5
107,3.5,3.5,4,80.5,49.0,2.2,2.2,1.5,1.0,1.0,1.5
108,3.5,3.5,4,80.5,49.0,2.2,1.4,1.5,1.0,2.2,1.5
109,3.5,4,2.5,65.5,35.0,1.4,3.0,1.5,1.0,1.0,1.5
110,3.5,4,2.5,65.5,35.0,1.8,2.2,1.5,1.0,1.0,1.5
111,3.5,4,2.5,65.5,35.0,1.8,1.0,1.5,1.0,2.2,1.5
112,3.5,4,3,73.0,42.0,1.4,3.0,1.5,1.0,1.0,1.5
113,3.5,4,3,73.0,42.0,1.8,2.2,1.5,1.0,1.0,1.5
114,3.5,4,3,73.0,42.0,1.8,1.0,1.5,1.0,2.2,1.5
115,3.5,4,3.5,80.5,49.0,1.4,3.0,1.5,1.0,1.0,1.5
116,3.5,4,3.5,80.5,49.0,1.8,2.2,1.5,1.0,1.0,1.5
117,3.5,4,3.5,80.5,49.0,1.8,1.0,1.5,1.0,2.2,1.5
118,3.5,4,4,88.0,56.0,1.4,3.0,1.5,1.0,1.0,1.5
119,3.5,4,4,88.0,56.0,1.8,2.2,1.5,1.0,1.0,1.5
120,3.5,4,4,88.0,56.0,1.8,1.0,1.5,1.0,2.2,1.5
121,3.5,4.5,2.5,71.5,39.375,1.4,1.0,1.5,1.0,2.2,1.5
122,3.5,4.5,2.5,71.5,39.375,1.4,1.8,1.5,1.8,3.4,1.5
123,3.5,4.5,2.5,71.5,39.375,1.8,1.0,1.5,2.2,2.2,1.5
124,3.5,4.5,3,79.5,47.25,1.4,1.0,1.5,1.0,2.2,1.5
125,3.5,4.5,3,79.5,47.25,1.4,1.8,1.5,1.8,3.4,1.5
126,3.5,4.5,3,79.5,47.25,1.8,1.0,1.5,2.2,2.2,1.5
127,3.5,4.5,3.5,87.5,55.125,1.4,1.0,1.5,1.0,2.2,1.5
128,3.5,4.5,3.5,87.5,55.125,1.4,1.8,1.5,1.8,3.4,1.5
129,3.5,4.5,3.5,87.5,55.125,1.8,1.0,1.5,2.2,2.2,1.5
130,3.5,4.5,4,95.5,63.0,1.4,1.0,1.5,1.0,2.2,1.5
131,3.5,4.5,4,95.5,63.0,1.4,1.8,1.5,1.8,3.4,1.5
132,3.5,4.5,4,95.5,63.0,1.8,1.0,1.5,2.2,2.2,1.5
133,3.5,5,2.5,77.5,43.75,2.2,2.6,1.5,1.4,3.8,1.5
134,3.5,5,2.5,77.5,43.75,2.2,1.4,1.5,1.4,3.8,1.5
135,3.5,5,2.5,77.5,43.75,1.8,1.8,1.5,1.0,3.4,1.5
136,3.5,5,3,86.0,52.5,2.2,2.6,1.5,1.4,3.8,1.5
137,3.5,5,3,86.0,52.5,2.2,1.4,1.5,1.4,3.8,1.5
138,3.5,5,3,86.0,52.5,1.8,1.8,1.5,1.0,3.4,1.5
139,3.5,5,3.5,94.5,61.25,2.2,2.6,1.5,1.4,3.8,1.5
140,3.5,5,3.5,94.5,61.25,2.2,1.4,1.5,1.4,3.8,1.5
141,3.5,5,3.5,94.5,61.25,1.8,1.8,1.5,1.0,3.4,1.5
142,3.5,5,4,103.0,70.0,2.2,2.6,1.5,1.4,3.8,1.5
143,3.5,5,4,103.0,70.0,2.2,1.4,1.5,1.4,3.8,1.5
144,3.5,5,4,103.0,70.0,1.8,1.8,1.5,1.0,3.4,1.5
145,3.5,5.5,2.5,83.5,48.125,1.4,1.0,1.5,1.0,2.6,1.5
146,3.5,5.5,2.5,83.5,48.125,1.4,1.0,1.5,1.4,2.6,1.5
147,3.5,5.5,2.5,83.5,48.125,1.0,3.0,1.5,2.2,1.8,1.5
148,3.5,5.5,3,92.5,57.75,1.4,1.0,1.5,1.0,2.6,1.5
149,3.5,5.5,3,92.5,57.75,1.4,1.0,1.5,1.4,2.6,1.5
150,3.5,5.5,3,92.5,57.75,1.0,3.0,1.5,2.2,1.8,1.5
151,3.5,5.5,3.5,101.5,67.375,1.4,1.0,1.5,1.0,2.6,1.5
152,3.5,5.5,3.5,101.5,67.375,1.4,1.0,1.5,1.4,2.6,1.5
153,3.5,5.5,3.5,101.5,67.375,1.0,3.0,1.5,2.2,1.8,1.5
154,3.5,5.5,4,110.5,77.0,1.4,1.0,1.5,1.0,2.6,1.5
155,3.5,5.5,4,110.5,77.0,1.4,1.0,1.5,1.4,2.6,1.5
156,3.5,5.5,4,110.5,77.0,1.0,3.0,1.5,2.2,1.8,1.5
157,3.5,6,2.5,89.5,52.5,1.4,4.2,1.5,1.0,2.2,1.5
158,3.5,6,2.5,89.5,52.5,2.2,3.0,1.5,1.4,1.0,1.5
159,3.5,6,2.5,89.5,52.5,1.4,5.0,1.5,2.2,2.6,1.5
160,3.5,6,3,99.0,63.0,1.4,4.2,1.5,1.0,2.2,1.5
161,3.5,6,3,99.0,63.0,2.2,3.0,1.5,1.4,1.0,1.5
162,3.5,6,3,99.0,63.0,1.4,5.0,1.5,2.2,2.6,1.5
163,3.5,6,3.5,108.5,73.5,1.4,4.2,1.5,1.0,2.2,1.5
164,3.5,6,3.5,108.5,73.5,2.2,3.0,1.5,1.4,1.0,1.5
165,3.5,6,3.5,108.5,73.5,1.4,5.0,1.5,2.2,2.6,1.5
166,3.5,6,4,118.0,84.0,1.4,4.2,1.5,1.0,2.2,1.5
167,3.5,6,4,118.0,84.0,2.2,3.0,1.5,1.4,1.0,1.5
168,3.5,6,4,118.0,84.0,1.4,5.0,1.5,2.2,2.6,1.5
169,4,3,2.5,59.0,30.0,1.0,1.8,1.5,3.0,1.4,1.5
170,4,3,2.5,59.0,30.0,2.2,1.8,1.5,1.0,1.8,1.5
171,4,3,2.5,59.0,30.0,1.4,1.8,1.5,3.0,1.8,1.5
172,4,3,3,66,36,1.0,1.8,1.5,3.0,1.4,1.5
173,4,3,3,66,36,2.2,1.8,1.5,1.0,1.8,1.5
174,4,3,3,66,36,1.4,1.8,1.5,3.0,1.8,1.5
175,4,3,3.5,73.0,42.0,1.0,1.8,1.5,3.0,1.4,1.5
176,4,3,3.5,73.0,42.0,2.2,1.8,1.5,1.0,1.8,1.5
177,4,3,3.5,73.0,42.0,1.4,1.8,1.5,3.0,1.8,1.5
178,4,3,4,80,48,1.0,1.8,1.5,3.0,1.4,1.5
179,4,3,4,80,48,2.2,1.8,1.5,1.0,1.8,1.5
180,4,3,4,80,48,1.4,1.8,1.5,3.0,1.8,1.5
181,4,3.5,2.5,65.5,35.0,1.4,1.0,1.5,2.6,1.0,1.5
182,4,3.5,2.5,65.5,35.0,1.4,2.2,1.5,3.0,1.8,1.5
183,4,3.5,2.5,65.5,35.0,2.6,1.4,1.5,1.0,2.2,1.5
184,4,3.5,3,73.0,42.0,1.4,1.0,1.5,2.6,1.0,1.5
185,4,3.5,3,73.0,42.0,1.4,2.2,1.5,3.0,1.8,1.5
186,4,3.5,3,73.0,42.0,2.6,1.4,1.5,1.0,2.2,1.5
187,4,3.5,3.5,80.5,49.0,1.4,1.0,1.5,2.6,1.0,1.5
188,4,3.5,3.5,80.5,49.0,1.4,2.2,1.5,3.0,1.8,1.5
189,4,3.5,3.5,80.5,49.0,2.6,1.4,1.5,1.0,2.2,1.5
190,4,3.5,4,88.0,56.0,1.4,1.0,1.5,2.6,1.0,1.5
191,4,3.5,4,88.0,56.0,1.4,2.2,1.5,3.0,1.8,1.5
192,4,3.5,4,88.0,56.0,2.6,1.4,1.5,1.0,2.2,1.5
193,4,4,2.5,72.0,40.0,1.8,1.4,1.5,1.4,3.0,1.5
194,4,4,2.5,72.0,40.0,2.6,1.0,1.5,1.4,1.0,1.5
195,4,4,2.5,72.0,40.0,2.2,3.0,1.5,1.8,1.0,1.5
196,4,4,3,80,48,1.8,1.4,1.5,1.4,3.0,1.5
197,4,4,3,80,48,2.6,1.0,1.5,1.4,1.0,1.5
198,4,4,3,80,48,2.2,3.0,1.5,1.8,1.0,1.5
199,4,4,3.5,88.0,56.0,1.8,1.4,1.5,1.4,3.0,1.5
200,4,4,3.5,88.0,56.0,2.6,1.0,1.5,1.4,1.0,1.5
201,4,4,3.5,88.0,56.0,2.2,3.0,1.5,1.8,1.0,1.5
202,4,4,4,96,64,1.8,1.4,1.5,1.4,3.0,1.5
203,4,4,4,96,64,2.6,1.0,1.5,1.4,1.0,1.5
204,4,4,4,96,64,2.2,3.0,1.5,1.8,1.0,1.5
205,4,4.5,2.5,78.5,45.0,1.8,1.8,1.5,1.0,2.6,1.5
206,4,4.5,2.5,78.5,45.0,1.4,3.0,1.5,2.6,1.0,1.5
207,4,4.5,2.5,78.5,45.0,2.2,1.8,1.5,1.0,1.8,1.5
208,4,4.5,3,87.0,54.0,1.8,1.8,1.5,1.0,2.6,1.5
209,4,4.5,3,87.0,54.0,1.4,3.0,1.5,2.6,1.0,1.5
210,4,4.5,3,87.0,54.0,2.2,1.8,1.5,1.0,1.8,1.5
211,4,4.5,3.5,95.5,63.0,1.8,1.8,1.5,1.0,2.6,1.5
212,4,4.5,3.5,95.5,63.0,1.4,3.0,1.5,2.6,1.0,1.5
213,4,4.5,3.5,95.5,63.0,2.2,1.8,1.5,1.0,1.8,1.5
214,4,4.5,4,104.0,72.0,1.8,1.8,1.5,1.0,2.6,1.5
215,4,4.5,4,104.0,72.0,1.4,3.0,1.5,2.6,1.0,1.5
216,4,4.5,4,104.0,72.0,2.2,1.8,1.5,1.0,1.8,1.5
217,4,5,2.5,85.0,50.0,1.0,3.8,1.5,3.0,2.6,1.5
218,4,5,2.5,85.0,50.0,3.0,1.0,1.5,3.0,2.6,1.5
219,4,5,2.5,85.0,50.0,1.8,3.4,1.5,2.2,1.0,1.5
220,4,5,3,94,60,1.0,3.8,1.5,3.0,2.6,1.5
221,4,5,3,94,60,3.0,1.0,1.5,3.0,2.6,1.5
222,4,5,3,94,60,1.8,3.4,1.5,2.2,1.0,1.5
223,4,5,3.5,103.0,70.0,1.0,3.8,1.5,3.0,2.6,1.5
224,4,5,3.5,103.0,70.0,3.0,1.0,1.5,3.0,2.6,1.5
225,4,5,3.5,103.0,70.0,1.8,3.4,1.5,2.2,1.0,1.5
226,4,5,4,112,80,1.0,3.8,1.5,3.0,2.6,1.5
227,4,5,4,112,80,3.0,1.0,1.5,3.0,2.6,1.5
228,4,5,4,112,80,1.8,3.4,1.5,2.2,1.0,1.5
229,4,5.5,2.5,91.5,55.0,1.8,1.0,1.5,1.4,4.2,1.5
230,4,5.5,2.5,91.5,55.0,2.6,4.2,1.5,3.0,1.4,1.5
231,4,5.5,2.5,91.5,55.0,1.0,3.0,1.5,1.8,1.4,1.5
232,4,5.5,3,101.0,66.0,1.8,1.0,1.5,1.4,4.2,1.5
233,4,5.5,3,101.0,66.0,2.6,4.2,1.5,3.0,1.4,1.5
234,4,5.5,3,101.0,66.0,1.0,3.0,1.5,1.8,1.4,1.5
235,4,5.5,3.5,110.5,77.0,1.8,1.0,1.5,1.4,4.2,1.5
236,4,5.5,3.5,110.5,77.0,2.6,4.2,1.5,3.0,1.4,1.5
237,4,5.5,3.5,110.5,77.0,1.0,3.0,1.5,1.8,1.4,1.5
238,4,5.5,4,120.0,88.0,1.8,1.0,1.5,1.4,4.2,1.5
239,4,5.5,4,120.0,88.0,2.6,4.2,1.5,3.0,1.4,1.5
240,4,5.5,4,120.0,88.0,1.0,3.0,1.5,1.8,1.4,1.5
241,4,6,2.5,98.0,60.0,1.8,5.0,1.5,2.2,3.4,1.5
242,4,6,2.5,98.0,60.0,1.0,3.8,1.5,1.0,1.8,1.5
243,4,6,2.5,98.0,60.0,2.2,3.0,1.5,3.0,4.6,1.5
244,4,6,3,108,72,1.8,5.0,1.5,2.2,3.4,1.5
245,4,6,3,108,72,1.0,3.8,1.5,1.0,1.8,1.5
246,4,6,3,108,72,2.2,3.0,1.5,3.0,4.6,1.5
247,4,6,3.5,118.0,84.0,1.8,5.0,1.5,2.2,3.4,1.5
248,4,6,3.5,118.0,84.0,1.0,3.8,1.5,1.0,1.8,1.5
249,4,6,3.5,118.0,84.0,2.2,3.0,1.5,3.0,4.6,1.5
250,4,6,4,128,96,1.8,5.0,1.5,2.2,3.4,1.5
251,4,6,4,128,96,1.0,3.8,1.5,1.0,1.8,1.5
252,4,6,4,128,96,2.2,3.0,1.5,3.0,4.6,1.5
253,4.5,3,2.5,64.5,33.75,1.0,1.0,1.5,2.6,1.8,1.5
254,4.5,3,2.5,64.5,33.75,2.2,1.8,1.5,3.4,1.8,1.5
255,4.5,3,2.5,64.5,33.75,3.0,1.0,1.5,1.0,1.0,1.5
256,4.5,3,3,72.0,40.5,1.0,1.0,1.5,2.6,1.8,1.5
257,4.5,3,3,72.0,40.5,2.2,1.8,1.5,3.4,1.8,1.5
258,4.5,3,3,72.0,40.5,3.0,1.0,1.5,1.0,1.0,1.5
259,4.5,3,3.5,79.5,47.25,1.0,1.0,1.5,2.6,1.8,1.5
260,4.5,3,3.5,79.5,47.25,2.2,1.8,1.5,3.4,1.8,1.5
261,4.5,3,3.5,79.5,47.25,3.0,1.0,1.5,1.0,1.0,1.5
262,4.5,3,4,87.0,54.0,1.0,1.0,1.5,2.6,1.8,1.5
263,4.5,3,4,87.0,54.0,2.2,1.8,1.5,3.4,1.8,1.5
264,4.5,3,4,87.0,54.0,3.0,1.0,1.5,1.0,1.0,1.5
265,4.5,3.5,2.5,71.5,39.375,2.2,1.4,1.5,1.0,1.0,1.5
266,4.5,3.5,2.5,71.5,39.375,1.0,2.2,1.5,3.4,1.4,1.5
267,4.5,3.5,2.5,71.5,39.375,3.0,2.2,1.5,1.0,1.4,1.5
268,4.5,3.5,3,79.5,47.25,2.2,1.4,1.5,1.0,1.0,1.5
269,4.5,3.5,3,79.5,47.25,1.0,2.2,1.5,3.4,1.4,1.5
270,4.5,3.5,3,79.5,47.25,3.0,2.2,1.5,1.0,1.4,1.5
271,4.5,3.5,3.5,87.5,55.125,2.2,1.4,1.5,1.0,1.0,1.5
272,4.5,3.5,3.5,87.5,55.125,1.0,2.2,1.5,3.4,1.4,1.5
273,4.5,3.5,3.5,87.5,55.125,3.0,2.2,1.5,1.0,1.4,1.5
274,4.5,3.5,4,95.5,63.0,2.2,1.4,1.5,1.0,1.0,1.5
275,4.5,3.5,4,95.5,63.0,1.0,2.2,1.5,3.4,1.4,1.5
276,4.5,3.5,4,95.5,63.0,3.0,2.2,1.5,1.0,1.4,1.5
277,4.5,4,2.5,78.5,45.0,1.8,3.0,1.5,3.0,2.2,1.5
278,4.5,4,2.5,78.5,45.0,1.0,1.4,1.5,2.2,1.0,1.5
279,4.5,4,2.5,78.5,45.0,1.0,1.0,1.5,3.4,3.0,1.5
280,4.5,4,3,87.0,54.0,1.8,3.0,1.5,3.0,2.2,1.5
281,4.5,4,3,87.0,54.0,1.0,1.4,1.5,2.2,1.0,1.5
282,4.5,4,3,87.0,54.0,1.0,1.0,1.5,3.4,3.0,1.5
283,4.5,4,3.5,95.5,63.0,1.8,3.0,1.5,3.0,2.2,1.5
284,4.5,4,3.5,95.5,63.0,1.0,1.4,1.5,2.2,1.0,1.5
285,4.5,4,3.5,95.5,63.0,1.0,1.0,1.5,3.4,3.0,1.5
286,4.5,4,4,104.0,72.0,1.8,3.0,1.5,3.0,2.2,1.5
287,4.5,4,4,104.0,72.0,1.0,1.4,1.5,2.2,1.0,1.5
288,4.5,4,4,104.0,72.0,1.0,1.0,1.5,3.4,3.0,1.5
289,4.5,4.5,2.5,85.5,50.625,3.0,3.4,1.5,2.2,1.4,1.5
290,4.5,4.5,2.5,85.5,50.625,1.0,1.4,1.5,3.4,1.0,1.5
291,4.5,4.5,2.5,85.5,50.625,3.0,3.0,1.5,1.0,1.8,1.5
292,4.5,4.5,3,94.5,60.75,3.0,3.4,1.5,2.2,1.4,1.5
293,4.5,4.5,3,94.5,60.75,1.0,1.4,1.5,3.4,1.0,1.5
294,4.5,4.5,3,94.5,60.75,3.0,3.0,1.5,1.0,1.8,1.5
295,4.5,4.5,3.5,103.5,70.875,3.0,3.4,1.5,2.2,1.4,1.5
296,4.5,4.5,3.5,103.5,70.875,1.0,1.4,1.5,3.4,1.0,1.5
